2026-07-30,Income,"Salary",14000.0
2026-07-31,Expense,"khoroch",5600.0
2026-07-30,Expense,"Groceries",1250.0
2026-07-30,Expense,"Bus Fare",80.0
2026-07-29,Income,"Freelance Project",8500.0
2026-07-29,Expense,"Ruti, Mangshoo",220.0
2026-07-28,Expense,"Coffee",180.0
2026-07-28,Expense,"Internet Bill",1200.0
2026-07-27,Income,"Gift from Friend",3000.0
2026-07-27,Expense,"Movie Ticket",450.0
2026-07-26,Expense,"Rice, Oil, Eggs",1750.0
2026-07-25,Income,"Bonus",5000.0
2026-07-25,Expense,"Electricity Bill",2100.0
2026-07-24,Expense,"Lunch",350.0
2026-07-24,Expense,"Tea, Biscuit",90.0
2026-07-23,Income,"Part-time Tutoring",2500.0
2026-07-23,Expense,"Books",980.0
2026-07-22,Expense,"Fuel",1500.0
2026-07-21,Expense,"Chicken, Vegetables",890.0
2026-07-20,Income,"Cashback",250.0
2026-12-11,Expense,"Hello",500.34
